Substance,ISO,Country,Subnational code *,Subnational desc,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
GWP_100_AR5_GHG,TUR,Türkiye,TR62,"Adana, Mersin",8688.8128058279,8545.4028846787,8689.6468577636,9108.8601776388,8567.7066995643,9240.0165834411,9978.1156396802,10383.165564163,10350.845551159,10093.06570727,11111.493719965,10298.022965012,11319.142540284,16730.721955447,17063.082135797,17289.027926746,19097.34001935,20966.054950271,20631.904691374,21007.590603439,20551.856426167,21849.181875437,22646.549920616,21335.33165579,22045.38215362,22414.936300754,26343.066847435,28064.59885358,27853.324775358,27433.698327264,27652.224548697,28302.63976248,32951.696912777,32960.184856235,32859.112727059
GWP_100_AR5_GHG,TUR,Türkiye,TR63,"Hatay, Kahramanmaraş, Osmaniye",17191.960928218,16353.637981381,17527.620278175,16992.660017726,17951.998416138,18271.883875527,18910.711657504,20372.070905261,21119.394374422,20599.112870573,21185.35758289,19768.644372189,18647.33254739,17653.242728687,18517.69026653,20275.141937693,26744.874019935,29226.205085463,32120.427051512,30581.261706925,30799.293698341,33462.000528391,34746.929470876,33121.630466205,40908.157673038,40700.600160321,42166.771684959,44106.53046222,46524.093056936,45323.481705411,44301.16182409,44962.006014696,42526.849183221,41962.032435519,49904.269149285
GWP_100_AR5_GHG,TUR,Türkiye,TR71,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir",6624.2747437725,6310.7300001003,6472.7249908769,6802.7922641681,6445.46405947,6786.3337898534,7175.3358589933,7256.3837703693,7168.6187906258,7069.6355412253,7298.5677005058,6832.021921954,7252.827138906,7442.3829302772,7933.4765041471,8040.7088169925,8382.3317351968,8426.1087752361,8003.0970807302,8758.0918530286,8857.3056478308,9452.7584233948,9802.421215686,9885.0897970519,10321.487566895,11557.15950031,13402.314938443,15492.700602977,14504.661240973,13857.241387339,14458.687661562,16243.212539927,14952.918231257,14705.592814311,14955.847557271
GWP_100_AR5_GHG,TUR,Türkiye,TR72,"Kayseri, Sivas, Yozgat",9545.3468807209,9361.3920990116,9677.9080702789,9920.4318157828,9579.0226641734,9979.9937967,10606.590883092,10873.389532871,10758.647940263,10726.797447321,12176.053438932,11290.370985871,11412.293636901,11355.761153383,11558.983173762,11735.131070438,12712.425046663,13612.772237251,13625.027103579,13706.278630471,13574.524999917,14348.763716736,15049.740109941,15019.530238353,15480.821647147,15949.139952017,16744.687285242,18073.601985959,18496.551178223,19093.337078361,19324.434273587,19354.161524365,19001.031216385,19134.265108435,19471.195683573
GWP_100_AR5_GHG,TUR,Türkiye,TR81,"Zonguldak, Karabük, Bartın",9190.8049657699,9045.0364475212,9729.7712294495,9221.565776313,9348.852224811,9586.662116196,10459.680588147,11093.88662101,10979.57062333,10548.276591329,11512.947356849,10702.778349354,10266.290552436,10057.620797201,10452.003559064,10713.350293425,11459.889800622,12131.968009606,13538.442528398,13123.179119818,20360.322044078,21607.436360732,22473.077854093,21033.822348959,21081.624912117,21105.139317127,29130.660553493,29837.03281797,31969.540664741,31341.432604125,29977.556084674,29715.105157175,28166.217096207,27603.263794653,27542.195894505
GWP_100_AR5_GHG,TUR,Türkiye,TR82,"Kastamonu, Çankırı, Sinop",2693.2673712101,2631.1349136332,2683.5293719229,2902.5633659449,2701.3181099585,2908.9102018424,3069.1096901659,3058.5137443411,2983.1886350704,3119.6964217837,3185.4146863026,3023.8552392144,3262.4008793391,3362.2824559333,3428.645244424,3389.9090172448,3640.3434036092,3857.7184633421,3856.7836031536,3893.9930359713,3868.7188889018,3973.3954095454,4250.8009104393,4413.5624181148,4727.5121988363,5101.4854708085,5424.4106916257,5592.4540869577,5379.4252925754,5569.3746279615,5674.815649711,6043.1423455238,5822.5296322118,5988.2989217823,6125.2566741122
GWP_100_AR5_GHG,TUR,Türkiye,TR83,"Samsun, Tokat, Çorum, Amasya",8986.6765548628,8688.639297886,9439.2518124269,9594.4644571749,8782.457781637,10383.754845479,10992.211668788,11119.767663328,11161.765416807,11080.739480893,11792.473055445,10661.053662361,11348.205581293,11490.813163605,12564.766721956,12272.566858871,12962.312300084,12503.690199342,12096.218241859,12872.105011327,14259.051486955,14873.687771544,15952.015676906,15398.822122896,17043.874645305,18304.486252158,18174.003559505,18963.583617837,18686.256388763,18168.832835681,20253.257738689,22596.745945404,20397.024844221,19887.129193424,20529.22349318
GWP_100_AR5_GHG,TUR,Türkiye,TR90,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",5381.2579565279,5559.6852239796,5900.0038167117,5879.1817924213,5335.3272065394,6219.5092766624,6389.2342452879,6426.2877019167,6099.9637140298,6297.6853998597,6375.8667628273,5897.0015775485,6305.5111551933,6462.0486915916,6881.0976106961,6930.3184926527,7618.6327589712,7928.0610174163,8143.6132087636,8384.8890469436,8758.2721195429,9158.4441397676,9513.3666800108,11029.668584226,11122.598625616,11275.766430621,11629.19491544,12674.257804726,11913.062485064,11194.432947998,12440.43293157,13503.571875042,12582.831498922,12559.143688087,12863.772814236
GWP_100_AR5_GHG,TUR,Türkiye,TRA1,"Erzurum, Erzincan, Bayburt",3461.7719080944,3386.039918831,3506.854014146,3631.4904250687,3432.882697844,3668.754173987,3770.7649600698,3737.6002376206,3459.2517617575,3531.9272721702,3650.3960457221,3401.1571475608,3548.9453041506,3546.7394824476,3692.4097498565,3821.5004053953,4120.255090478,4430.7386816275,4551.536159545,4522.9422717821,4591.0473182766,4816.179353657,5062.7797903902,5084.7927802055,5225.2797970304,5569.1600709121,5865.398607952,6373.2179875644,6283.7541308264,6339.0290116449,6622.2424592539,6986.5154538632,6838.4576377109,6890.8162230421,7045.6560827086
GWP_100_AR5_GHG,TUR,Türkiye,TRA2,"Ağrı, Kars, Iğdır, Ardahan",3993.7458398194,3849.9868826829,3941.755161766,4102.8675232758,3868.4613869018,3996.8113735213,4051.8783488033,3965.7459766799,3731.6496413787,3794.3908906068,3846.1630911151,3595.407130594,3674.7468500434,3696.8369438673,3796.0774157765,3900.1039223212,4143.8508278729,4417.4026492821,4637.4213336586,4598.0613041999,4563.0010143352,4764.6579619193,5061.1260683766,5255.6314010434,5395.4548959495,5774.0306123249,6069.3504211122,6435.14234458,6408.7067376091,6602.7773310357,6877.2240162446,7195.7015593352,7054.3023798962,7095.903237971,7245.9906651186
