years,months,Bahawalpur,Rahim Yar Khan,Dera Ghazi Khan,Layyah,Muzaffargarh,Taunsa,Faisalabad,Jhang,Toba Tek Singh,Gujrat,Hafizabad, Mandi Bahauddin,Gujranwala,Narowal,Sialkot,Lahore, Nankana Sahib,Kasur,Sheikhupura,Bhakkar,Mianwali,Khanewal,Multan,Vehari,Attock,Rawalpindi,Jhelum,Sahiwal,Pakpattan,Okara,Khushab,Sargodha
1982,12,1.406432179,1.542279253,1.742063991,1.893800462,1.465099801,1.907384624,1.332028144,1.629309613,1.484744482,0.89968191,1.186284676,1.215534002,0.884617822,0.679103788,0.679103788,0.948895003,1.241607226,1.009534559,1.207872016,2.25163991,1.768277142,1.458258444,1.46474089,1.239049896,0.925291362,0.925291362,1.178431704,1.295322894,1.285623876,1.185406326,1.423723272,1.467976143
1983,1,1.423291284,1.435566101,1.253925573,1.1739187,1.241601285,1.246276881,1.279883286,1.084943562,1.13329463,0.788938571,1.031207122,0.896487343,0.832039843,0.757934753,0.757934753,1.026176117,1.16650748,1.139826052,1.128339589,1.108097075,0.997983143,1.169770865,1.241079703,1.200273668,0.791645057,0.791645057,0.913503398,1.180134585,1.294408123,1.255494671,1.043522954,1.022175936
1983,2,1.01950283,1.120769811,1.088675324,0.936689883,1.003879492,1.065675928,0.797845496,0.722931333,0.825202948,0.581832381,0.673274518,0.621158645,0.526241556,0.409043588,0.409043588,0.528849595,0.68390613,0.592205996,0.64932662,0.823204078,0.663749385,0.901296894,1.003318095,0.919440582,0.618755968,0.618755968,0.772709864,0.847495365,0.803591783,0.732202137,0.745819473,0.745250806
1983,3,0.001130879,0.03731932,0.150853608,0.205012888,0.066981745,0.183882789,0.007614105,0.032861308,0.102140456,0.445808781,0.112888465,0.400943391,0.220830593,0.118946613,0.118946613,-0.007069527,0.012443816,-0.089301153,0.013590739,0.288303542,0.303601553,0.070393547,0.067342158,0.055857287,0.627932505,0.627932505,0.735298672,0.03486712,0.072446897,0.071175938,0.215650885,0.084352974
1983,4,-0.985944159,-1.006108013,-0.500703224,-0.088575541,-0.555232198,-0.186253857,0.017502781,0.215628137,-0.069605582,0.182838154,-0.081289558,0.286188056,-0.238599238,-0.457025572,-0.457025572,-0.397481344,-0.268806451,-0.447857557,-0.255937752,0.263687121,1.178599139,-0.35744284,-0.555060517,-0.555354853,1.823374395,1.823374395,1.0117315,-0.256211389,-0.344526019,-0.241074388,0.640681363,0.338646044
1983,5,-1.29825447,-1.376211414,-1.17045559,-1.196477619,-0.994528562,-1.078991716,-1.14975063,-1.218444562,-1.168637764,-0.844234271,-0.864620009,-0.931516048,-0.838196925,-0.712597979,-0.712597979,-0.842950418,-0.859177769,-0.97044178,-0.835054321,-1.192213455,-0.850291061,-1.129219198,-0.995136966,-0.943937747,-0.686559882,-0.686559882,-0.993833966,-1.012995956,-0.991897986,-0.935976589,-1.08948495,-1.121115113
1983,6,-1.28465424,-1.375290625,-1.351744407,-1.535866854,-1.389465074,-1.47432522,-1.61280416,-1.590419902,-1.584957315,-1.615330898,-1.624811255,-1.558634493,-1.694376763,-1.782700136,-1.782700136,-1.678005721,-1.618964364,-1.662433925,-1.633792569,-1.513298943,-1.56651187,-1.504259603,-1.389974183,-1.431711959,-1.33562912,-1.33562912,-1.417309298,-1.487022604,-1.516557544,-1.605941857,-1.580343444,-1.598694045
1983,7,-0.821571022,-0.81615542,-0.509263238,-0.725172607,-0.680479334,-0.455836469,-0.960937938,-0.761112568,-0.637366267,-0.453376896,-0.696963651,-0.298316138,-0.902340054,-1.071739616,-1.071739616,-1.141985114,-1.143491551,-1.145638378,-1.125530327,-0.721240589,-0.974726829,-0.602020137,-0.682319762,-0.605747034,-1.050347925,-1.050347925,0.058245468,-0.563253116,-0.774576011,-1.060726217,-0.859040982,-0.942825744
1983,8,-0.406570836,-0.448743295,-0.554439672,0.244609121,-0.412485197,-0.284135621,0.294214569,0.623377027,0.315842209,1.344158305,1.051884495,2.134899436,0.571971381,0.269472894,0.269472894,0.063868751,0.481349072,-0.067832289,0.450645803,0.634038113,0.775849073,-0.214034805,-0.413446909,-0.154898355,1.024602177,1.024602177,1.87145686,-0.129886751,0.204770208,0.226440475,1.251671166,0.648759544
1983,9,0.113792671,0.144380037,0.30117278,-0.126575696,0.169720668,0.102684786,0.119813736,0.040758666,0.049949459,0.363429335,0.169797811,0.442675659,0.085581007,-0.02460055,-0.02460055,-0.102385711,-0.025002489,-0.231391605,-0.022809641,-0.413172523,-0.313144132,0.102039779,0.169589132,0.30709429,-0.151996552,-0.151996552,0.881583754,0.216641741,0.154109599,-0.030347016,0.04785265,-0.017378769
